id,group_id,meta_key,meta_value
"8","3","total_member_count","16"
"9","3","last_activity","2017-06-27 19:51:36"
"10","3","invite_status","admins"
"11","3","group_extension_example_1_setting",""
"12","3","bpge","a:7:{s:8:""gpage_id"";i:776;s:19:""display_page_layout"";s:7:""profile"";s:12:""display_page"";s:7:""private"";s:17:""display_page_name"";s:6:""Extras"";s:10:""gpage_name"";s:10:""AddMembers"";s:14:""display_gpages"";s:7:""private"";s:9:""home_name"";s:4:""Home"";}"
"109","27","total_member_count","6"
"110","27","last_activity","2017-11-17 03:47:21"
"111","27","invite_status","members"
"112","27","bpge","a:1:{s:8:""gpage_id"";i:1438;}"
"129","32","total_member_count","14"
"130","32","last_activity","2017-05-12 18:28:19"
"131","32","invite_status","admins"
"132","32","bpge","a:1:{s:8:""gpage_id"";i:2112;}"
"133","33","total_member_count","14"
"134","33","last_activity","2017-11-17 03:47:23"
"135","33","invite_status","members"
"136","33","bpge","a:1:{s:8:""gpage_id"";i:2126;}"
"137","34","total_member_count","3"
"138","34","last_activity","2017-04-25 20:58:23"
"139","34","invite_status","members"
"140","34","bpge","a:1:{s:8:""gpage_id"";i:2196;}"
"141","35","total_member_count","10"
"142","35","last_activity","2017-05-12 18:28:07"
"143","35","invite_status","members"
"144","35","bpge","a:1:{s:8:""gpage_id"";i:2218;}"
"145","36","total_member_count","3"
"146","36","last_activity","2017-11-17 03:47:24"
"147","36","invite_status","members"
"148","36","bpge","a:1:{s:8:""gpage_id"";i:2287;}"
"149","37","total_member_count","3"
"150","37","last_activity","2017-04-28 18:25:10"
"151","37","invite_status","members"
"152","37","bpge","a:1:{s:8:""gpage_id"";i:2437;}"
"153","38","total_member_count","5"
"154","38","last_activity","2017-11-17 03:47:21"
"155","38","invite_status","members"
"156","38","bpge","a:1:{s:8:""gpage_id"";i:2489;}"
"157","39","total_member_count","2"
"158","39","last_activity","2017-05-25 19:41:35"
"159","39","invite_status","members"
"160","39","bpge","a:1:{s:8:""gpage_id"";i:2510;}"
"161","40","total_member_count","1"
"162","40","last_activity","2017-04-30 21:49:24"
"163","40","invite_status","members"
"164","40","bpge","a:1:{s:8:""gpage_id"";i:2547;}"
"165","41","total_member_count","3"
"166","41","last_activity","2017-11-18 21:54:16"
"167","41","invite_status","members"
"168","41","bpge","a:1:{s:8:""gpage_id"";i:2597;}"
"169","42","total_member_count","4"
"170","42","last_activity","2017-11-16 15:29:40"
"171","42","invite_status","members"
"172","42","bpge","a:1:{s:8:""gpage_id"";i:2610;}"
"55481","285","total_member_count","-1"
"55540","363","total_member_count","-1"
"55547","372","total_member_count","-1"
"55535","357","total_member_count","-1"
"55390","50","total_member_count","-1"
"55405","87","total_member_count","-1"
"55388","45","total_member_count","-1"
"55528","348","total_member_count","-1"
"55521","338","total_member_count","-1"
"55531","351","total_member_count","0"
"55525","344","total_member_count","0"
"55389","48","total_member_count","-1"
"55518","334","total_member_count","-1"
"55522","339","total_member_count","-1"
"55527","346","total_member_count","-1"
"55391","52","total_member_count","-1"
"55483","288","total_member_count","-1"
"55512","327","total_member_count","-1"
"55514","329","total_member_count","-1"
"55479","284","total_member_count","-1"
"55513","328","total_member_count","-1"
"55507","319","total_member_count","-1"
"55516","331","total_member_count","-1"
"55510","323","total_member_count","-1"
"55517","332","total_member_count","-1"
"55495","304","total_member_count","-1"
"55404","84","total_member_count","-1"
"55401","74","total_member_count","-1"
"55485","292","total_member_count","-1"
"55477","282","total_member_count","-1"
"55484","291","total_member_count","-1"
"55478","283","total_member_count","-1"
"55472","271","total_member_count","-1"
"55421","127","total_member_count","-1"
"55466","256","total_member_count","-1"
"55469","263","total_member_count","-1"
"55470","265","total_member_count","-1"
"55428","150","total_member_count","-1"
"55431","158","total_member_count","-1"
"55434","165","total_member_count","-1"
"55432","160","total_member_count","-1"
"55430","156","total_member_count","-1"
"55455","227","total_member_count","-1"
"55446","199","total_member_count","-1"
"54764","404","total_member_count","0"
"54765","408","total_member_count","0"
"54766","416","total_member_count","0"
"54769","434","total_member_count","0"
"54770","438","total_member_count","0"
"54773","485","total_member_count","0"
"54774","500","total_member_count","0"
"54775","507","total_member_count","0"
"54776","562","total_member_count","0"
"54777","564","total_member_count","0"
"54781","608","total_member_count","0"
"54782","625","total_member_count","0"
"54783","628","total_member_count","0"
"54785","635","total_member_count","-1"
"54790","640","total_member_count","-1"
"54789","639","total_member_count","-1"
"54807","657","total_member_count","-1"
"54805","655","total_member_count","-1"
"54809","659","total_member_count","-1"
"54810","660","total_member_count","-1"
"54812","662","total_member_count","-1"
"54816","666","total_member_count","-1"
"54821","671","total_member_count","-1"
"54820","670","total_member_count","-1"
"54824","674","total_member_count","-1"
"54822","672","total_member_count","-1"
"54828","678","total_member_count","-1"
"54832","682","total_member_count","-1"
"54840","690","total_member_count","-1"
"54839","689","total_member_count","-1"
"54842","692","total_member_count","-1"
"54845","695","total_member_count","-1"
"54844","694","total_member_count","-1"
"54850","700","total_member_count","-1"
"54853","703","total_member_count","-1"
"54852","702","total_member_count","-1"
"54858","708","total_member_count","-1"
"54860","710","total_member_count","-1"
"54861","711","total_member_count","-1"
"54866","716","total_member_count","-1"
"54871","721","total_member_count","-1"
"54880","730","total_member_count","-1"
"54879","729","total_member_count","-1"
"54881","731","total_member_count","-1"
"54888","738","total_member_count","-1"
"54894","744","total_member_count","-1"
"54893","743","total_member_count","-1"
"54896","746","total_member_count","-1"
"54899","749","total_member_count","-1"
"54897","747","total_member_count","-1"
"54902","752","total_member_count","-1"
"54907","757","total_member_count","-1"
"54917","767","total_member_count","-1"
"54916","766","total_member_count","-1"
"54919","769","total_member_count","-1"
"54920","770","total_member_count","-1"
"54925","775","total_member_count","-1"
"54927","777","total_member_count","-1"
"54930","780","total_member_count","-1"
"54935","785","total_member_count","-1"
"54934","784","total_member_count","-1"
"54937","787","total_member_count","-1"
"54940","790","total_member_count","-1"
"54945","795","total_member_count","-1"
"54944","794","total_member_count","-1"
"54948","798","total_member_count","-1"
"54953","803","total_member_count","-1"
"54952","802","total_member_count","-1"
"54955","805","total_member_count","-1"
"54958","808","total_member_count","-1"
"54956","806","total_member_count","-1"
"54960","858","total_member_count","0"
"54961","870","total_member_count","0"
"54963","883","total_member_count","0"
"54966","924","total_member_count","-1"
"54971","929","total_member_count","-1"
"54973","931","total_member_count","-1"
"54974","932","total_member_count","-1"
"54978","936","total_member_count","-1"
"54979","937","total_member_count","-1"
"54983","941","total_member_count","-1"
"54984","942","total_member_count","-1"
"54986","944","total_member_count","-1"
"54989","947","total_member_count","-1"
"54988","946","total_member_count","-1"
"54992","950","total_member_count","-1"
"54996","954","total_member_count","-1"
"55001","959","total_member_count","-1"
"55003","961","total_member_count","-1"
"55006","964","total_member_count","-1"
"55015","973","total_member_count","-1"
"55013","971","total_member_count","-1"
"55017","975","total_member_count","-1"
"55025","983","total_member_count","-1"
"55030","988","total_member_count","-1"
"55028","986","total_member_count","-1"
"55035","993","total_member_count","-1"
"55037","995","total_member_count","-1"
"55040","998","total_member_count","-1"
"55038","996","total_member_count","-1"
"55043","1001","total_member_count","-1"
"55050","1008","total_member_count","-1"
"55051","1009","total_member_count","-1"
"55055","1013","total_member_count","-1"
"55057","1015","total_member_count","-1"
"55059","1017","total_member_count","-1"
"55062","1020","total_member_count","-1"
"55061","1019","total_member_count","-1"
"55067","1025","total_member_count","-1"
"55066","1024","total_member_count","-1"
"55070","1028","total_member_count","-1"
"55069","1027","total_member_count","-1"
"55074","1032","total_member_count","-1"
"55075","1033","total_member_count","-1"
"55077","1035","total_member_count","-1"
"55084","1042","total_member_count","-1"
"55083","1041","total_member_count","-1"
"55087","1045","total_member_count","-1"
"55091","1049","total_member_count","-1"
"55092","1050","total_member_count","-1"
"55094","1052","total_member_count","-1"
"55096","1054","total_member_count","-1"
"55097","1055","total_member_count","-1"
"55101","1059","total_member_count","-1"
"55102","1060","total_member_count","-1"
"55104","1062","total_member_count","-1"
"55109","1067","total_member_count","-1"
"55111","1069","total_member_count","-1"
"55113","1135","total_member_count","0"
"55114","1150","total_member_count","0"
"55115","1179","total_member_count","0"
"55119","1186","total_member_count","-1"
"55118","1185","total_member_count","-1"
"55121","1188","total_member_count","-1"
"55134","1201","total_member_count","-1"
"55138","1205","total_member_count","-1"
"55140","1207","total_member_count","-1"
"55153","1220","total_member_count","-1"
"55152","1219","total_member_count","-1"
"55164","1231","total_member_count","-1"
"55165","1232","total_member_count","-1"
"55169","1236","total_member_count","-1"
"55173","1240","total_member_count","-1"
"55174","1241","total_member_count","-1"
"55176","1243","total_member_count","-1"
"55179","1246","total_member_count","-1"
"55177","1244","total_member_count","-1"
"55182","1249","total_member_count","-1"
"55180","1247","total_member_count","-1"
"55185","1252","total_member_count","-1"
"55187","1254","total_member_count","-1"
"55188","1255","total_member_count","-1"
"55190","1257","total_member_count","-1"
"55198","1265","total_member_count","-1"
"55197","1264","total_member_count","-1"
"55181","1248","total_member_count","-1"
"55203","1270","total_member_count","-1"
"55207","1274","total_member_count","-1"
"55209","1276","total_member_count","-1"
"55212","1279","total_member_count","-1"
"55211","1278","total_member_count","-1"
"55217","1284","total_member_count","-1"
"55215","1282","total_member_count","-1"
"55221","1288","total_member_count","-1"
"55223","1290","total_member_count","-1"
"55172","1239","total_member_count","-1"
"55175","1242","total_member_count","-1"
"55226","1319","total_member_count","0"
"55227","1362","total_member_count","0"
"55228","1369","total_member_count","0"
"55178","1245","total_member_count","-1"
"55230","1397","total_member_count","0"
"55231","1401","total_member_count","0"
"55232","1409","total_member_count","0"
"55237","1469","total_member_count","-1"
"55236","1468","total_member_count","-1"
"55250","1482","total_member_count","-1"
"55249","1481","total_member_count","-1"
"55262","1494","total_member_count","-1"
"55263","1495","total_member_count","-1"
"55267","1499","total_member_count","-1"
"55270","1502","total_member_count","-1"
"55269","1501","total_member_count","-1"
"55272","1504","total_member_count","-1"
"55286","1518","total_member_count","-1"
"55285","1517","total_member_count","-1"
"55289","1521","total_member_count","-1"
"55294","1526","total_member_count","-1"
"55261","1493","total_member_count","-1"
"55302","1573","total_member_count","0"
"55271","1503","total_member_count","-1"
"55304","1602","total_member_count","-1"
"55307","1605","total_member_count","-1"
"55309","1607","total_member_count","-1"
"55312","1610","total_member_count","-1"
"55314","1612","total_member_count","-1"
"55317","1615","total_member_count","-1"
"55322","1620","total_member_count","-1"
"55313","1611","total_member_count","-1"
"55328","1626","total_member_count","-1"
"55331","1629","total_member_count","-1"
"55356","1654","total_member_count","-1"
"55303","1601","total_member_count","-1"
"55360","1662","total_member_count","0"
"55308","1606","total_member_count","-1"
"55266","1498","total_member_count","-1"
"55385","1743","total_member_count","-1"
"55384","1742","total_member_count","-1"
"55383","1741","total_member_count","-1"
"55382","1740","total_member_count","-1"
"55381","1739","total_member_count","-1"
"55379","1737","total_member_count","-1"
"55380","1738","total_member_count","-1"
"55374","1732","total_member_count","-1"
"55373","1731","total_member_count","-1"
"55368","1726","total_member_count","-1"
"55365","1723","total_member_count","-1"
"55366","1724","total_member_count","-1"
"55367","1725","total_member_count","-1"
"55363","1721","total_member_count","-1"
"55364","1722","total_member_count","-1"
"55310","1608","total_member_count","-1"
"55311","1609","total_member_count","-1"
"55375","1733","total_member_count","-1"
"55376","1734","total_member_count","-1"
"55377","1735","total_member_count","-1"
"55378","1736","total_member_count","-1"
"55362","1720","total_member_count","-1"
"55369","1727","total_member_count","-1"
"55370","1728","total_member_count","-1"
"55371","1729","total_member_count","-1"
"55372","1730","total_member_count","-1"
"54892","742","total_member_count","-1"
"55386","1744","total_member_count","-1"
"55387","1745","total_member_count","-1"
"54895","745","total_member_count","-1"
"54762","377","total_member_count","0"
"55268","1500","total_member_count","-1"
"55264","1496","total_member_count","-1"
"55265","1497","total_member_count","-1"
"55305","1603","total_member_count","-1"
"55306","1604","total_member_count","-1"
"55170","1237","total_member_count","-1"
"55171","1238","total_member_count","-1"
"54957","807","total_member_count","-1"
"54918","768","total_member_count","-1"
"55290","1522","total_member_count","-1"
"55291","1523","total_member_count","-1"
"55318","1616","total_member_count","-1"
"55319","1617","total_member_count","-1"
"55076","1034","total_member_count","-1"
"55063","1021","total_member_count","-1"
"55064","1022","total_member_count","-1"
"54977","935","total_member_count","-1"
"54898","748","total_member_count","-1"
"54856","706","total_member_count","-1"
"54857","707","total_member_count","-1"
"54933","783","total_member_count","-1"
"55349","1647","total_member_count","-1"
"55205","1272","total_member_count","-1"
"55206","1273","total_member_count","-1"
"55346","1644","total_member_count","-1"
"55347","1645","total_member_count","-1"
"55348","1646","total_member_count","-1"
"54903","753","total_member_count","-1"
"54904","754","total_member_count","-1"
"55036","994","total_member_count","-1"
"55056","1014","total_member_count","-1"
"54806","656","total_member_count","-1"
"55208","1275","total_member_count","-1"
"55241","1473","total_member_count","-1"
"55242","1474","total_member_count","-1"
"54803","653","total_member_count","-1"
"54804","654","total_member_count","-1"
"55039","997","total_member_count","-1"
"55041","999","total_member_count","-1"
"55042","1000","total_member_count","-1"
"55034","992","total_member_count","-1"
"55256","1488","total_member_count","-1"
"55257","1489","total_member_count","-1"
"55258","1490","total_member_count","-1"
"54926","776","total_member_count","-1"
"54831","681","total_member_count","-1"
"54867","717","total_member_count","-1"
"54868","718","total_member_count","-1"
"54877","727","total_member_count","-1"
"54878","728","total_member_count","-1"
"54938","788","total_member_count","-1"
"54939","789","total_member_count","-1"
"54869","719","total_member_count","-1"
"54870","720","total_member_count","-1"
"55234","1433","total_member_count","0"
"54788","638","total_member_count","-1"
"54796","646","total_member_count","-1"
"54797","647","total_member_count","-1"
"55354","1652","total_member_count","-1"
"55355","1653","total_member_count","-1"
"55287","1519","total_member_count","-1"
"55288","1520","total_member_count","-1"
"55248","1480","total_member_count","-1"
"55238","1470","total_member_count","-1"
"55239","1471","total_member_count","-1"
"55240","1472","total_member_count","-1"
"55336","1634","total_member_count","-1"
"55337","1635","total_member_count","-1"
"55338","1636","total_member_count","-1"
"55216","1283","total_member_count","-1"
"55085","1043","total_member_count","-1"
"55086","1044","total_member_count","-1"
"55016","974","total_member_count","-1"
"55145","1212","total_member_count","-1"
"55146","1213","total_member_count","-1"
"54959","809","total_member_count","0"
"55191","1258","total_member_count","-1"
"55192","1259","total_member_count","-1"
"55193","1260","total_member_count","-1"
"54936","786","total_member_count","-1"
"55254","1486","total_member_count","-1"
"55255","1487","total_member_count","-1"
"54887","737","total_member_count","-1"
"55210","1277","total_member_count","-1"
"55110","1068","total_member_count","-1"
"54813","663","total_member_count","-1"
"55246","1478","total_member_count","-1"
"55247","1479","total_member_count","-1"
"54915","765","total_member_count","-1"
"54838","688","total_member_count","-1"
"55060","1018","total_member_count","-1"
"55150","1217","total_member_count","-1"
"55151","1218","total_member_count","-1"
"55154","1221","total_member_count","-1"
"54905","755","total_member_count","-1"
"54906","756","total_member_count","-1"
"54849","699","total_member_count","-1"
"54846","696","total_member_count","-1"
"54847","697","total_member_count","-1"
"54848","698","total_member_count","-1"
